"Table S2: Linear regression results for expressed PAR and NPX genes, related to Figure 2 and S3-5"				
				
Gene	deltaEx_LCL	deltaEx_Fib	gene_name.84	NPX-NPY_gene
ABCB7	-0.044562284	0.009987029	ABCB7	FALSE
ABCD1	0.080021984	0.069616107	ABCD1	FALSE
ACOT9	-0.035365377	0.018258475	ACOT9	FALSE
ACSL4	0.000661239	0.017159519	ACSL4	FALSE
AFF2	NA	0.068980175	AFF2	FALSE
AIFM1	-0.03903309	0.026387055	AIFM1	FALSE
AKAP17A	0.918245943	0.689261178	AKAP17A	FALSE
ALG13	0.179435117	0.109852378	ALG13	FALSE
AMER1	0.045324639	0.085684041	AMER1	FALSE
AMMECR1	-0.015541329	-0.079685061	AMMECR1	FALSE
AMOT	NA	-0.010177291	AMOT	FALSE
AP1S2	0.035480787	0.110087722	AP1S2	FALSE
APEX2	-0.027142664	-0.033879745	APEX2	FALSE
APOO	-0.024684406	-0.002692788	APOO	FALSE
APOOL	-0.023543074	-0.024798085	APOOL	FALSE
AR	NA	-0.050084184	AR	FALSE
ARAF	-0.028032639	-0.014563437	ARAF	FALSE
ARHGAP4	-0.018320222	NA	ARHGAP4	FALSE
ARHGAP6	-0.143559787	NA	ARHGAP6	FALSE
ARHGEF6	0.093860473	0.134947638	ARHGEF6	FALSE
ARHGEF9	-0.007605221	-0.054094646	ARHGEF9	FALSE
ARMCX1	-0.301956329	0.021507023	ARMCX1	FALSE
ARMCX2	-0.083833239	-0.015465992	ARMCX2	FALSE
ARMCX3	0.002646603	0.000747649	ARMCX3	FALSE
ARMCX4	NA	-0.009451949	ARMCX4	FALSE
ARMCX5	-0.072169025	-0.063566209	ARMCX5	FALSE
ARMCX6	-0.013397192	-0.035554058	ARMCX6	FALSE
ARSD	NA	0.176987992	ARSD	FALSE
ASMTL	0.730314503	0.647429973	ASMTL	FALSE
ATG4A	-0.025628101	-0.060928817	ATG4A	FALSE
ATP11C	-0.034164235	-0.026038329	ATP11C	FALSE
ATP6AP1	-0.023536867	-0.026744118	ATP6AP1	FALSE
ATP6AP2	-0.024972923	-0.040834149	ATP6AP2	FALSE
ATP7A	-0.064119039	-0.014305788	ATP7A	FALSE
ATRX	0.013465237	-0.02948285	ATRX	FALSE
BCAP31	0.001940614	0.051085241	BCAP31	FALSE
BCOR	0.11544947	0.012531332	BCOR	FALSE
BCORL1	NA	0.024705105	BCORL1	FALSE
BEX1	NA	8.733574484	BEX1	FALSE
BEX2	-0.235506012	NA	BEX2	FALSE
BEX4	-0.107689354	-0.115937735	BEX4	FALSE
BEX5	-0.137328994	NA	BEX5	FALSE
BGN	NA	-0.064261236	BGN	FALSE
BHLHB9	NA	0.030238085	BHLHB9	FALSE
BRCC3	-0.009632186	0.007220484	BRCC3	FALSE
BRWD3	-0.023566786	-0.070086093	BRWD3	FALSE
BTK	-0.012520142	NA	BTK	FALSE
C1GALT1C1	0.035437018	-0.02518693	C1GALT1C1	FALSE
CA5B	0.165778427	0.338394741	CA5B	FALSE
CASK	0.147495817	0.015525036	CASK	FALSE
CCDC120	-0.021361587	-0.091971643	CCDC120	FALSE
CCDC22	-0.008961782	0.023651666	CCDC22	FALSE
CD99	0.473068762	0.694330966	CD99	FALSE
CD99L2	0.03887754	0.051975652	CD99L2	FALSE
CDK16	0.090590545	0.241082134	CDK16	FALSE
CDKL5	-0.120993882	-0.031246775	CDKL5	FALSE
CDR1	NA	-0.184205265	CDR1	FALSE
CENPI	0.011237969	0.054413028	CENPI	FALSE
CETN2	0.014201381	0.005091826	CETN2	FALSE
CFP	-0.171654837	NA	CFP	FALSE
CHIC1	0.010040418	-0.054640422	CHIC1	FALSE
CHM	0.100936856	0.09004126	CHM	FALSE
CHST7	-0.027330426	-0.028432355	CHST7	FALSE
CLCN5	-0.062269107	-0.075354931	CLCN5	FALSE
CLIC2	-0.098616989	NA	CLIC2	FALSE
CMC4	-0.069917819	0.038027087	CMC4	FALSE
COX7B	-0.039554176	-0.004365728	COX7B	FALSE
CSTF2	-0.019761587	-0.026724263	CSTF2	FALSE
CTPS2	0.012052652	0.196646359	CTPS2	FALSE
CUL4B	-0.006379848	-0.013433237	CUL4B	FALSE
CXCR3	0.148637938	NA	CXCR3	FALSE
TASL	0.308877335	NA	CXorf21	FALSE
BCLAF3	0.024710549	0.046604834	CXorf23	FALSE
CXorf38	0.123418659	0.108931877	CXorf38	FALSE
EOLA1	-0.055101359	-0.037850545	CXorf40A	FALSE
EOLA2	-0.002400503	0.010972449	CXorf40B	FALSE
STEEP1	0.006591528	-0.024365237	CXorf56	FALSE
RADX	-0.187201465	-0.1948066	CXorf57	FALSE
CXorf65	0.027807285	NA	CXorf65	FALSE
CYBB	0.087985972	NA	CYBB	FALSE
CYSLTR1	-0.058150865	NA	CYSLTR1	FALSE
INTS6L	-0.012712875	-0.138091083	DDX26B	FALSE
DDX3X	0.257297961	0.16425109	DDX3X	TRUE
DHRSX	0.967259754	1.115645668	DHRSX	FALSE
DIAPH2	-0.03277515	0.007919593	DIAPH2	FALSE
DKC1	0.02202551	-0.014820762	DKC1	FALSE
DLG3	0.175574676	0.074031255	DLG3	FALSE
DMD	0.035207245	-0.194136075	DMD	FALSE
DNASE1L1	-0.096030807	0.006333665	DNASE1L1	FALSE
DOCK11	-0.007103923	-0.004795323	DOCK11	FALSE
DYNLT3	-0.008880579	-0.027129252	DYNLT3	FALSE
EBP	-0.074018601	0.008203459	EBP	FALSE
EDA2R	0.010646323	-0.069208294	EDA2R	FALSE
EFNB1	NA	0.116618086	EFNB1	FALSE
EIF1AX	0.510866119	0.564920698	EIF1AX	TRUE
EIF2S3	0.219755516	0.316112203	EIF2S3	FALSE
ELF4	-0.023697203	0.02952338	ELF4	FALSE
ELK1	-0.028067685	0.011015026	ELK1	FALSE
EMD	-0.000983547	0.050079846	EMD	FALSE
ENOX2	0.00236012	-0.008317083	ENOX2	FALSE
ERCC6L	0.038317751	0.034533495	ERCC6L	FALSE
F8	-0.134126072	-0.176645483	F8	FALSE
F8A1	-0.017076133	-0.05826612	F8A1	FALSE
F8A3	-0.05708889	0.0889956	F8A3	FALSE
FAAH2	0.230172122	NA	FAAH2	FALSE
FAM104B	0.028378836	-0.011298877	FAM104B	FALSE
FAM120C	0.077164322	0.022033432	FAM120C	FALSE
PABIR2	0.02122814	0.033210913	FAM122B	FALSE
PABIR3	-0.024522389	0.076673462	FAM122C	FALSE
RTL8C	-0.077146841	-0.008235688	FAM127A	FALSE
RTL8A	-0.091984362	9.04E-05	FAM127B	FALSE
RTL8B	NA	-0.053042097	FAM127C	FALSE
FAM156A	0.006693807	-0.047935188	FAM156A	FALSE
FAM156B	0.069216762	-0.0207226	FAM156B	FALSE
FAM199X	-0.011439926	-0.004643721	FAM199X	FALSE
FAM3A	-0.001929733	-0.020713225	FAM3A	FALSE
FAM50A	-0.03904247	-0.005714165	FAM50A	FALSE
CCNQ	0.007207919	0.016237084	FAM58A	FALSE
FANCB	0.005498981	-0.028490921	FANCB	FALSE
FGD1	NA	0.071792815	FGD1	FALSE
FGF13	NA	-0.021174995	FGF13	FALSE
FHL1	0.549135264	0.465016144	FHL1	FALSE
FLNA	-0.027406488	-0.029571999	FLNA	FALSE
FMR1	-0.039398865	0.017916208	FMR1	FALSE
FOXO4	0.021847903	-0.015389428	FOXO4	FALSE
FTSJ1	0.00851874	-0.019588829	FTSJ1	FALSE
FTX	0.102816502	-0.035312358	FTX	FALSE
FUNDC1	0.265901869	0.024432059	FUNDC1	FALSE
FUNDC2	-0.046404666	0.01164846	FUNDC2	FALSE
G6PD	-0.034542819	-0.032798953	G6PD	FALSE
GABRE	NA	-0.118232664	GABRE	FALSE
GDI1	-0.030853544	-0.055341027	GDI1	FALSE
GEMIN8	0.115026474	0.481067174	GEMIN8	FALSE
GK	-0.039912719	0.065011867	GK	FALSE
GLA	-0.096436827	0.008220165	GLA	FALSE
GNL3L	-0.022890108	-0.069223204	GNL3L	FALSE
GPC4	NA	-0.045797514	GPC4	FALSE
GPKOW	-0.031877128	-0.026083684	GPKOW	FALSE
GPR173	NA	-0.069614476	GPR173	FALSE
